,jd,mag,mag_unc,filter,limmag,programid
58,44247.59408672714,8.311154756090817,0.1,g,inf,0.0
59,44247.59408672714,8.185260762121892,0.1,r,inf,0.0
60,44247.69408672714,8.30291790068115,0.1,r,inf,0.0
61,44247.69408672714,8.45441357902345,0.1,g,inf,0.0
62,44247.79408672714,8.387504505191998,0.1,r,inf,0.0
63,44247.79408672714,8.50496789573508,0.1,g,inf,0.0
64,44247.89408672714,8.421188208335824,0.1,r,inf,0.0
65,44247.89408672714,8.499141441158082,0.1,g,inf,0.0
66,44247.994086727136,8.516367273998917,0.1,r,inf,0.0
67,44247.994086727136,8.603370417606133,0.1,g,inf,0.0
68,44248.09408672714,8.47448894148669,0.1,r,inf,0.0
69,44248.09408672714,8.699443877657773,0.1,g,inf,0.0
70,44248.19408672714,8.655591254661314,0.1,r,inf,0.0
71,44248.19408672714,8.884706476744057,0.1,g,inf,0.0
72,44248.29408672714,8.52082125826847,0.1,r,inf,0.0
73,44248.29408672714,8.750594762552872,0.1,g,inf,0.0
74,44248.39408672714,8.79594111498865,0.1,g,inf,0.0
75,44248.39408672714,8.856352952897911,0.1,r,inf,0.0
76,44248.494086727136,8.79739137854825,0.1,g,inf,0.0
77,44248.494086727136,8.681552665223942,0.1,r,inf,0.0
78,44248.59408672714,8.567294296445128,0.1,r,inf,0.0
79,44248.59408672714,8.646982970234278,0.1,g,inf,0.0
80,44248.69408672714,8.579944923919957,0.1,r,inf,0.0
81,44248.69408672714,8.870232825858572,0.1,g,inf,0.0
82,44248.79408672714,8.91276186047611,0.1,g,inf,0.0
83,44248.79408672714,8.769136041328899,0.1,r,inf,0.0
84,44248.89408672714,9.183957001592374,0.1,g,inf,0.0
85,44248.89408672714,8.729436472133838,0.1,r,inf,0.0
86,44248.994086727136,8.949290644727574,0.1,g,inf,0.0
87,44248.994086727136,8.85407675093747,0.1,r,inf,0.0
88,44249.09408672714,8.860894414847456,0.1,r,inf,0.0
89,44249.09408672714,9.029575426300886,0.1,g,inf,0.0
90,44249.19408672714,9.026843465958837,0.1,g,inf,0.0
91,44249.19408672714,8.837181711986252,0.1,r,inf,0.0
92,44249.29408672714,8.78800617250493,0.1,r,inf,0.0
93,44249.29408672714,8.94166778022724,0.1,g,inf,0.0
94,44249.39408672714,9.200869510758341,0.1,g,inf,0.0
95,44249.39408672714,8.749252467160828,0.1,r,inf,0.0
96,44249.494086727136,8.884137339740354,0.1,r,inf,0.0
97,44249.494086727136,9.18983217789316,0.1,g,inf,0.0
98,44249.59408672714,9.221793714646429,0.1,g,inf,0.0
99,44249.59408672714,9.042480359697047,0.1,r,inf,0.0
100,44249.69408672714,9.005426804570773,0.1,r,inf,0.0
101,44249.69408672714,9.078928724355706,0.1,g,inf,0.0
102,44249.79408672714,8.885384647229866,0.1,r,inf,0.0
103,44249.79408672714,9.336087995872102,0.1,g,inf,0.0
104,44249.89408672714,9.053217712629497,0.1,r,inf,0.0
105,44249.89408672714,9.081564553442574,0.1,g,inf,0.0
106,44249.994086727136,9.306376464045142,0.1,g,inf,0.0
107,44249.994086727136,9.100372452960576,0.1,r,inf,0.0
108,44250.09408672714,8.999396066310892,0.1,r,inf,0.0
109,44250.09408672714,9.492677412189426,0.1,g,inf,0.0
110,44250.19408672714,9.128104003659352,0.1,r,inf,0.0
111,44250.19408672714,9.199527900229153,0.1,g,inf,0.0
112,44250.29408672714,9.142213490915045,0.1,r,inf,0.0
113,44250.29408672714,9.26561288578759,0.1,g,inf,0.0
114,44250.39408672714,9.355868921262282,0.1,g,inf,0.0
115,44250.39408672714,9.045756715293033,0.1,r,inf,0.0
116,44250.494086727136,9.219493607116572,0.1,r,inf,0.0
117,44250.494086727136,9.319217345347546,0.1,g,inf,0.0
118,44250.59408672714,9.263454449724216,0.1,r,inf,0.0
119,44250.59408672714,9.238159693658202,0.1,g,inf,0.0
120,44250.69408672714,9.339342247410567,0.1,r,inf,0.0
121,44250.69408672714,9.423743460251064,0.1,g,inf,0.0
122,44250.79408672714,9.358342651529755,0.1,r,inf,0.0
123,44250.79408672714,9.332582114631077,0.1,g,inf,0.0
124,44250.89408672714,9.137041254105883,0.1,r,inf,0.0
125,44250.89408672714,9.508017473642532,0.1,g,inf,0.0
126,44250.994086727136,9.202871431485402,0.1,r,inf,0.0
127,44250.994086727136,9.390561551730961,0.1,g,inf,0.0
128,44251.09408672714,9.370003206773108,0.1,r,inf,0.0
129,44251.09408672714,9.659343160231417,0.1,g,inf,0.0
130,44251.19408672714,9.447870135071367,0.1,g,inf,0.0
131,44251.19408672714,9.391724019718785,0.1,r,inf,0.0
132,44251.29408672714,9.413695937833495,0.1,r,inf,0.0
133,44251.29408672714,9.51583505725975,0.1,g,inf,0.0
134,44251.39408672714,9.76768762718525,0.1,r,inf,0.0
135,44251.39408672714,9.64961623953417,0.1,g,inf,0.0
136,44251.494086727136,9.45960172672242,0.1,r,inf,0.0
137,44251.494086727136,9.465276283687134,0.1,g,inf,0.0
138,44251.59408672714,9.536167437204488,0.1,r,inf,0.0
139,44251.59408672714,9.631206906324268,0.1,g,inf,0.0
140,44251.69408672714,9.759273385825423,0.1,g,inf,0.0
141,44251.69408672714,9.538109247069075,0.1,r,inf,0.0
