,day,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor
39,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfmpwn,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/Bu2019lm_result.json,TRUE,4247.44388,pymultinest,-10.36034927,0.067991476,0,-10.36034927
38,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfmpwn,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/,,FALSE,,,,,,
36,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfmpwn,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/TrPi2018_result.json,TRUE,5523.779476,pymultinest,-12.60022964,0.161609834,0,-12.60022964
37,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abfmpwn,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abfmpwn_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abfmpwn/nugent-hyper_result.json,TRUE,5119.421308,pymultinest,-12.49059811,0.113622491,0,-12.49059811
43,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgcgyq,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/,,FALSE,,,,,,
42,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgcgyq,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/,,FALSE,,,,,,
40,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgcgyq,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/,,FALSE,,,,,,
41,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgcgyq,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgcgyq_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgcgyq/,,FALSE,,,,,,
47,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgswcp,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/,,FALSE,,,,,,
46,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgswcp,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/,,FALSE,,,,,,
44,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgswcp,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/,,FALSE,,,,,,
45,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgswcp,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgswcp_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgswcp/,,FALSE,,,,,,
51,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgytxd,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/,,FALSE,,,,,,
50,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgytxd,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/,,FALSE,,,,,,
48,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgytxd,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/,,FALSE,,,,,,
49,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abgytxd,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abgytxd_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abgytxd/,,FALSE,,,,,,
55,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/,,FALSE,,,,,,
54,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/,,FALSE,,,,,,
52,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/,,FALSE,,,,,,
53,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhjssj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhjssj_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhjssj/,,FALSE,,,,,,
59,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhqtpi,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhqtpi_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhqtpi/,,FALSE,,,,,,
58,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhqtpi,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhqtpi_forced1_stacked0.csv,Piro2021,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhqtpi/,,FALSE,,,,,,
56,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhqtpi,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhqtpi_forced1_stacked0.csv,TrPi2018,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhqtpi/,,FALSE,,,,,,
57,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhqtpi,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhqtpi_forced1_stacked0.csv,nugent-hyper,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhqtpi/,,FALSE,,,,,,
63,2459366-2459388,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/,ZTF21abhvfrj,/panfs/roc/groups/7/cough052/shared/ztfrest/candidates/partnership/2459366-2459388/lc_ZTF21abhvfrj_forced1_stacked0.csv,Bu2019lm,/panfs/roc/groups/7/cough052/shared/ztfrest/candidate_fits/2459366-2459388/ZTF21abhvfrj/,,FALSE,,,,,,
