,day,startDate,stopDate,dayPath,cand,candPath,model,fitPath,json,fitBool,sampling_time,sampler,log_evidence,log_evidence_err,log_noise_evidence,log_bayes_factor,startDay,stopDay
43,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aatuvld_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aatuvld/,,False,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
42,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aatuvld_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aatuvld/,,False,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
40,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aatuvld_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aatuvld/TrPi2018_result.json,True,5621.565859,pymultinest,-23.767424351567968,0.25783085168236963,0.0,-23.767424351567968,2022-07-22 12:00:00,2022-07-29 12:00:00
41,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aatuvld,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aatuvld_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aatuvld/,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aatuvld/nugent-hyper_result.json,True,36.751112,pymultinest,-17.231945325437042,0.0828695552494185,0.0,-17.231945325437042,2022-07-22 12:00:00,2022-07-29 12:00:00
47,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aauqgqd_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aauqgqd/,,False,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
46,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aauqgqd_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aauqgqd/,,False,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
44,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aauqgqd_forced1_stacked0.csv,TrPi2018,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aauqgqd/,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aauqgqd/TrPi2018_result.json,True,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
45,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aauqgqd,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aauqgqd_forced1_stacked0.csv,nugent-hyper,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aauqgqd/,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aauqgqd/nugent-hyper_result.json,True,33.337892,pymultinest,-10.970607868740966,0.07474795033031076,0.0,-10.970607868740966,2022-07-22 12:00:00,2022-07-29 12:00:00
51,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aawacjw_forced1_stacked0.csv,Bu2019lm,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aawacjw/,,False,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
50,2459783-2459790,,,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/,ZTF22aawacjw,./candidate_data/pipelineStructureExample/candidates/partnership/2459783-2459790/lc_ZTF22aawacjw_forced1_stacked0.csv,Piro2021,./candidate_data/pipelineStructureExample/candidate_fits/2459783-2459790/ZTF22aawacjw/,,False,,,,,,,2022-07-22 12:00:00,2022-07-29 12:00:00
